Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C24, C25",402,4,15p,C1548
"C10, C5, C6, C9",402,4,4.7u,C23733
"C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C28, C29, C3, C30, C33, C35, C36, C37, C38, C39, C40, C41, C42, C8",402,26,100n,C1525
"C12, C26, C4, C7",805,4,10u,C15850
"C27, C32",603,2,10u,C19702
"C31, C34",402,2,1u,C52923
"CR1, CR2",CR_60JFILM_STM,2,BAT60JFILM,C133103
D1,402,1,RED,C397045
"D2, D4",402,2,GREEN,C434446
"D3, D5",402,2,YELLOW,C130721
"J1, J5",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0_14P,C2988369
L1,L_pol_2016,1,3.3u,C42411119
"PD1, UD1",805,2,RED,C2295
"PD2, UD3",805,2,GREEN,C2297
"R1, R18, R19, R2, R6, R8",402,4,5.1k,C25905
"R10, R21, R22, R9",402,4,27,C137890
R11,402,1,3k,C25559
R13,402,1,2k,C4109
R16,402,1,510,C25123
"R12, R14, R15, R17, R20, R3, R4, R7",402,13,1k,C11702
"R34, R35",402,2,10k,C25531
"R23, R31, R33",402,5,470,C25117
"R30, R32",402,2,2k,C4109
"R24, R25, R26, R27, R28, R29",402,6,100,C25076
R5,402,1,33,C25105
SW1,SW_SPST_PTS647_Sx38,1,BOOTSEL,C2689502
SW2,SW_SPST_PTS647_Sx38,1,RESET,C2689502
SW3,SW_SPST_PTS647_Sx38,1,LEFT,C2689502
SW4,SW_SPST_PTS647_Sx38,1,RIGHT,C2689502
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
"U10, U9",SOT-666,2,USBLC6-2P6,C15999
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C42415655
U4,USON-8_UX_2x3x0p6_WIN,1,W25Q16JVUXIQ TR,C2843335
U5,SOT-23-5,1,AP2112K-3.3,C23380830
U6,RP2040-QFN-56,1,RP2040,C2040
"U7, U8",DCK5,2,SN74AUP1T17DCKR,C2652100
UD2,805,1,YELLOW,C2296
UD4,805,1,BLUE,C2293
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,ABM8-272-T3,C20625731
